FID,Type,Installation_time,condition,Feet_used,geom
Paint_School_Crosswalks.1,Themo,06/02/06, , ,POINT (1358984.274137535 569577.3182203553)
Paint_School_Crosswalks.2,Themo,06/02/06, , ,POINT (1358297.3916283299 568854.7306978895)
Paint_School_Crosswalks.3,Paint,06/13/06, , ,POINT (1361027.9471506488 560385.618618054)
Paint_School_Crosswalks.4,Paint,06/13/06, , ,POINT (1360997.2174261212 560382.1066495365)
Paint_School_Crosswalks.5,Paint,06/13/06, , ,POINT (1358544.9854088102 559709.5646784445)
Paint_School_Crosswalks.6,Paint,06/16/06, , ,POINT (1356731.9316616757 558003.040643006)
Paint_School_Crosswalks.7,Paint,06/16/06, , ,POINT (1347374.2915469247 539147.5743368493)
Paint_School_Crosswalks.8,Paint,06/16/06, , ,POINT (1347050.8977792761 538104.5196871661)
Paint_School_Crosswalks.9,Paint,12/14/06, , ,POINT (1350387.8531989418 579136.6038608165)
Paint_School_Crosswalks.10,Paint,12/14/06, , ,POINT (1350037.2416752828 579182.2594515433)
Paint_School_Crosswalks.11,Themo,01/09/07, , ,POINT (1356835.8273969837 528218.0356464955)
Paint_School_Crosswalks.12,Themo,01/09/07, , ,POINT (1356100.6553206637 529345.6702046407)
Paint_School_Crosswalks.13,Themo,01/09/07, , ,POINT (1356443.6575792015 528912.8200848649)
Paint_School_Crosswalks.14,Themo,01/09/07, , ,POINT (1352937.835006655 537167.4094210926)
Paint_School_Crosswalks.15,Themo,01/09/07, , ,POINT (1355605.467759703 529908.4631595624)
Paint_School_Crosswalks.16,Themo,01/09/07, , ,POINT (1355646.733389783 529917.8284089423)
Paint_School_Crosswalks.17,Themo,01/09/07, , ,POINT (1355663.1225761978 529868.3681856549)
Paint_School_Crosswalks.18,Themo,01/04/07, , ,POINT (1352464.011920842 568703.716051639)
Paint_School_Crosswalks.19,Themo,01/17/07, , ,POINT (1348930.9715922854 566254.4106747594)
Paint_School_Crosswalks.20,Themo,01/17/07, , ,POINT (1348471.1963805424 567107.233696414)
Paint_School_Crosswalks.21,Themo,01/17/07, , ,POINT (1349698.0440493056 567305.9525816932)
Paint_School_Crosswalks.22,Themo,01/17/07, , ,POINT (1350404.8277134427 566648.3364768003)
Paint_School_Crosswalks.23,Themo,01/17/07, , ,POINT (1349925.7366748538 565527.1405276038)
Paint_School_Crosswalks.24,Paint,01/10/07, , ,POINT (1362046.710684753 535804.4729722781)
Paint_School_Crosswalks.25,Paint,01/10/07, , ,POINT (1362275.5739664736 535837.836673194)
Paint_School_Crosswalks.26,Themo,01/10/07, , ,POINT (1361550.937795706 538924.564335991)
Paint_School_Crosswalks.27,Themo,01/10/07, , ,POINT (1361387.3385956015 539558.181989348)
Paint_School_Crosswalks.28,Themo,01/10/07, , ,POINT (1361362.4621519363 539573.4005195904)
Paint_School_Crosswalks.29,Themo,01/10/07, , ,POINT (1361395.2405247658 539606.1788924199)
Paint_School_Crosswalks.30,Paint,01/10/07, , ,POINT (1358561.6672592682 534033.8555113961)
Paint_School_Crosswalks.31,Themo,01/10/07, , ,POINT (1357212.7786845234 534665.4245164512)
Paint_School_Crosswalks.32,Paint,01/24/07, , ,POINT (1344061.3345787951 564941.8124413617)
Paint_School_Crosswalks.33,Paint,01/24/07, , ,POINT (1343677.6520182635 568947.2125355158)
Paint_School_Crosswalks.34,Themo,01/29/07, , ,POINT (1345709.9111336956 558006.2599474803)
Paint_School_Crosswalks.35,Paint,02/06/07, , ,POINT (1357179.7076476507 562711.4197687366)
Paint_School_Crosswalks.36,Paint,01/30/07, , ,POINT (1355374.5558296805 562634.7417894389)
Paint_School_Crosswalks.37,Paint,02/06/07, , ,POINT (1355502.4500165244 558857.034320833)
Paint_School_Crosswalks.38,Paint,02/06/07, , ,POINT (1356963.7215838276 560815.2494333556)
Paint_School_Crosswalks.39,Paint,02/06/07, , ,POINT (1354484.8571385927 560593.9954167561)
Paint_School_Crosswalks.40,Paint,02/12/07, , ,POINT (1356597.30620184 555690.1167102207)
Paint_School_Crosswalks.41,Themo,01/30/07, , ,POINT (1349315.5321449465 557099.8794059346)
Paint_School_Crosswalks.42,Paint,01/30/07, , ,POINT (1346606.0484337322 553975.983409661)
Paint_School_Crosswalks.43,Themo,01/30/07, , ,POINT (1346121.9821064102 556016.1444542574)
Paint_School_Crosswalks.44,Themo,01/30/07, , ,POINT (1346091.2523818824 556041.8988900521)
Paint_School_Crosswalks.45,Themo,01/30/07, , ,POINT (1348275.9894637805 556121.7961738242)
Paint_School_Crosswalks.46,Themo,04/11/07, , ,POINT (1360423.595901604 569235.1939539468)
Paint_School_Crosswalks.47,Themo,04/11/07, , ,POINT (1360389.939536645 569258.8997414396)
Paint_School_Crosswalks.48,Themo,04/11/07, , ,POINT (1359947.138839403 569148.8580612261)
Paint_School_Crosswalks.49,Themo,04/11/07, , ,POINT (1360038.7426848998 567153.7672792702)
Paint_School_Crosswalks.50,Paint,04/11/07, , ,POINT (1362358.6905547201 559888.6750728346)
Paint_School_Crosswalks.51,Themo,06/18/07, , ,POINT (1371181.926126732 574634.260221443)
Paint_School_Crosswalks.52,Themo,06/18/07, , ,POINT (1371157.927675196 574623.1389878044)
Paint_School_Crosswalks.53,Paint,01/11/07, , ,POINT (1347786.9478477254 537806.880355312)
Paint_School_Crosswalks.54,Themo,01/18/07, , ,POINT (1344945.7653171069 566842.3727373895)
Paint_School_Crosswalks.55,Themo,01/18/07, , ,POINT (1345476.9505553714 567671.1973075082)
Paint_School_Crosswalks.56,Themo,01/18/07, , ,POINT (1345433.9289410326 567680.269892845)
Paint_School_Crosswalks.57,Themo,01/18/07, , ,POINT (1345431.0023006015 567718.0235544075)
Paint_School_Crosswalks.58,Themo,01/18/07, , ,POINT (1345481.3405160182 567723.87683527)
Paint_School_Crosswalks.59,Themo,09/11/08, , ,POINT (1356197.8197829798 561491.5960370083)
Paint_School_Crosswalks.60,Themo,08/27/08, , ,POINT (1360781.524026341 579449.1690588697)
Paint_School_Crosswalks.61,Paint,09/04/08, , ,POINT (1358010.2882020283 559151.1616841697)
Paint_School_Crosswalks.62,Paint,09/04/08, , ,POINT (1351151.1210234014 551155.872690147)
Paint_School_Crosswalks.63,Paint,09/04/08, , ,POINT (1351409.250709434 551136.264199258)
Paint_School_Crosswalks.64,Themo,09/04/08, , ,POINT (1351411.0066936929 551197.7236483133)
Paint_School_Crosswalks.65,Paint,09/04/08, , ,POINT (1350807.8261008204 551972.4053704547)
Paint_School_Crosswalks.66,Paint,09/04/08, , ,POINT (1349378.1622501744 551371.2734258841)
Paint_School_Crosswalks.67,Paint,09/04/08, , ,POINT (1350567.8415854613 552841.0322504378)
Paint_School_Crosswalks.68,Paint,09/04/08, , ,POINT (1351558.8020354689 553100.332592643)
Paint_School_Crosswalks.69,Paint,09/04/08, , ,POINT (1351292.1850921856 553527.3294315565)
Paint_School_Crosswalks.70,Paint,09/04/08, , ,POINT (1351121.5619550461 553934.1324514947)
Paint_School_Crosswalks.71,Paint,09/04/08, , ,POINT (1350802.265484001 552371.8917893148)
Paint_School_Crosswalks.72,Themo,09/03/08, , ,POINT (1341434.3821277411 560632.9197344913)
Paint_School_Crosswalks.73,Themo,09/03/08, , ,POINT (1347417.0204972206 565487.0455536962)
Paint_School_Crosswalks.74,Themo,09/03/08, , ,POINT (1345766.9806221044 567708.9509690708)
Paint_School_Crosswalks.75,Themo,11/17/08, , ,POINT (1330520.0619676295 602664.1589513568)
Paint_School_Crosswalks.76,Themo,11/19/08, , ,POINT (1330361.7307203012 603071.2546353381)
Paint_School_Crosswalks.77,Themo,07/14/09, , ,POINT (1358202.2758143155 561414.3327296244)
Paint_School_Crosswalks.78,Themo,10/08/09, , ,POINT (1346231.7311225804 564510.7183058445)
Paint_School_Crosswalks.79,Themo,10/08/09, , ,POINT (1346207.7326710445 564322.2426620746)
Paint_School_Crosswalks.80,Themo,10/08/09, , ,POINT (1346350.5527240876 564492.573135171)
Paint_School_Crosswalks.81,Themo,10/13/09, , ,POINT (1359919.9210833928 591305.5747737876)
Paint_School_Crosswalks.82,Themo,07/21/10, , ,POINT (1356501.6050597394 562984.7679850116)
Paint_School_Crosswalks.83,Themo,08/19/10, , ,POINT (1353913.8695904636 536573.8867416432)
Paint_School_Crosswalks.84,Themo,12/29/10, , ,POINT (1344205.6179520537 563974.85044289)
Paint_School_Crosswalks.85,Themo,12/29/10, , ,POINT (1344200.3499992776 563960.8025688202)
Paint_School_Crosswalks.86,Themo,12/29/10, , ,POINT (1344206.495944183 563906.0743927566)
Paint_School_Crosswalks.87,Paint,12/29/10, , ,POINT (1343738.8188032757 564966.3962209839)
Paint_School_Crosswalks.88,Themo,12/29/10,Chips, ,POINT (1374162.124077833 556428.8007550581)
Paint_School_Crosswalks.89,Themo,12/29/10, , ,POINT (1373118.1914360204 556648.0061233557)
Paint_School_Crosswalks.90,Themo,12/29/10,Chips, ,POINT (1373073.12117338 556659.7126850806)
Paint_School_Crosswalks.91,Themo,12/29/10,Chips, ,POINT (1372089.184660407 556959.1080011934)
Paint_School_Crosswalks.92,Themo,12/29/10,Chips, ,POINT (1372538.4239665978 552910.3936286574)
Paint_School_Crosswalks.93,Themo, , , ,POINT (1364778.4368632445 566951.2437614305)
Paint_School_Crosswalks.94,Themo, , , ,POINT (1364270.0794203433 567103.1363998103)
Paint_School_Crosswalks.95,Paint, ,Chips,6,POINT (1358384.0201850939 555134.0550282908)
Paint_School_Crosswalks.96,Themo, ,Chips,6,POINT (1356536.724744914 555675.7761721078)
Paint_School_Crosswalks.97,Themo, ,Chips,6,POINT (1357880.3453668824 554635.0628347695)
Paint_School_Crosswalks.98,Paint, ,Chips,6,POINT (1358384.0201850939 555134.0550282908)
Paint_School_Crosswalks.99,Themo, , ,6,POINT (1356112.3618823886 562925.0645202149)
Paint_School_Crosswalks.100,Themo, , ,6,POINT (1361399.3378213693 560805.2988558896)
Paint_School_Crosswalks.101,Themo, , ,6,POINT (1361406.6544224473 560814.0787771832)
Paint_School_Crosswalks.102,Themo, ,Faded,6,POINT (1361152.9146970615 560560.3390517973)
Paint_School_Crosswalks.103,Paint, ,Chips,6,POINT (1361028.239814692 560384.4479618815)
Paint_School_Crosswalks.104,Paint, ,Chips,6,POINT (1361008.0459957167 560372.7414001568)
Paint_School_Crosswalks.105,Themo, ,Chips,6,POINT (1365475.2699499156 561104.1088439161)
Paint_School_Crosswalks.106,Themo, ,Chips,6,POINT (1365544.3386640921 561106.4501562611)
Paint_School_Crosswalks.107,Themo,08/09/11, , ,POINT (1333752.8289879442 555309.3607901203)
Paint_School_Crosswalks.108,Themo,03/27/12,Chips,1000,POINT (1349669.655637123 596063.4141228058)
Paint_School_Crosswalks.109,Themo,03/08/12,Faded,1000,POINT (1352177.4938226268 550881.3538176996)
Paint_School_Crosswalks.110,Themo,05/31/12,Faded,60,POINT (1377790.8655484903 570210.350545626)
Paint_School_Crosswalks.111,Themo,06/04/12,Chips,1000,POINT (1332508.7141406368 555416.1831658594)
Paint_School_Crosswalks.112,Themo,04/11/13,,270,POINT (1376679.0348486737 570783.3867420569)
