FID,Name,Address,City,Zipcode,geom,,,,,POWER,ADDRESS,SIGNS,S1_1,SPEED,Type,Installation_time,condition,Feet_used
School_Flashing_Signs.65,,,,,POINT (1362128.9492808701 536619.5423323701),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.66,,,,,POINT (1362243.0882576872 535977.7300858058),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.67,,,,,POINT (1357462.4211133057 534444.1704998517),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.68,,,,,POINT (1356985.3787230186 534810.8785458823),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.69,,,,,POINT (1360733.5271232692 527436.9153154056),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.70,,,,,POINT (1356505.7023563432 529000.9119618442),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.71,,,,,POINT (1356105.92327344 529244.701109764),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.72,,,,,POINT (1353273.5206641147 537072.2936070783),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.73,,,,,POINT (1352406.9424324336 537173.8480300413),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.74,,,,,POINT (1348139.3153556432 539386.095531993),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.75,,,,,POINT (1346597.5611764817 540479.488397093),,,,,electric,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.76,,,,,POINT (1347498.381101208 541151.4450400987),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.77,,,,,POINT (1312474.982396875 585981.1378372873),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.78,,,,,POINT (1310939.6668266621 587223.7893643791),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.79,,,,,POINT (1316958.5955374886 574609.0911137346),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.80,,,,,POINT (1316188.8891040804 572948.222669023),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.81,,,,,POINT (1316526.330745799 581752.7277422751),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.82,,,,,POINT (1318095.3026809706 581958.7632286323),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.83,,,,,POINT (1318261.8285215064 582257.5732166588),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.84,,,,,POINT (1318853.8878807402 582615.2086773528),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.85,,,,,POINT (1323904.6839369226 579050.5606321389),,,,,electric,,30 fines dbl w/flash,,30,,,,
School_Flashing_Signs.86,,,,,POINT (1325140.6041910225 579173.4795302497),,,,,solar,,30 fines dbl w/flash,,30,,,,
School_Flashing_Signs.87,,,,,POINT (1340592.0950116387 595401.9933853523),,,,,solar,,35 fines dbl w/flash,,35,,,,
School_Flashing_Signs.88,,,,,POINT (1340460.3961922342 594203.5341287719),,,,,solar,,35 fines dbl w/flash,,35,,,,
School_Flashing_Signs.89,,,,,POINT (1332742.5527110905 555018.7453953011),,,,,solar,,30 fines dbl w/flash,,30,,,,
School_Flashing_Signs.90,,,,,POINT (1332455.4492847887 555224.7808816583),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.91,,,,,POINT (1285598.472660901 612592.4939501936),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.92,,,,,POINT (1283978.2845181832 612679.1225069574),,,,,solar,,35 fines dbl w/flash,,35,,,,
School_Flashing_Signs.93,,,,,POINT (1334047.83434341 554323.0829648025),,,,,solar,,30 fines dbl w/flash,,30,,,,
School_Flashing_Signs.94,,,,,POINT (1361248.9085032053 526140.9989324658),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.95,,,,,POINT (1344229.6164035897 564282.7330162532),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.96,,,,,POINT (1344016.8496442407 565247.9390304664),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.97,,,,,POINT (1350005.6339586258 566765.6947580918),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.98,,,,,POINT (1350541.7944856235 566580.7310828393),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.99,,,,,POINT (1390996.7451662393 561188.396088335),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.100,,,,,POINT (1393269.2814610738 562641.4730624307),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.101,,,,,POINT (1364634.4461540289 577356.9138145976),,,,,electric,,S1-1/fines dbl flash,School,25,,,,
School_Flashing_Signs.102,,,,,POINT (1366472.9616729151 575889.496302389),,,,,electric,,S1-1/fines dbl flash,School,25,,,,
School_Flashing_Signs.103,,,,,POINT (1365652.0390319608 567395.5077788882),,,,,electric,,S1-1/fines dbl flash,School,40,,,,
School_Flashing_Signs.104,,,,,POINT (1352639.3176826716 568205.6018502471),,,,,electric,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.105,,,,,POINT (1352169.8845575056 569000.1847273207),,,,,electric,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.106,,,,,POINT (1356913.3833684106 562855.9958060384),,,,,solar,,S1-1/fines dbl flash,School,25,,,,
School_Flashing_Signs.107,,,,,POINT (1356083.0954780765 562851.3131813485),,,,,solar,,S1-1/fines dbl flash,School,25,,,,
School_Flashing_Signs.108,,,,,POINT (1355983.2970393721 561414.3327296244),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.109,,,,,POINT (1356909.57873585 562097.995934355),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.110,,,,,POINT (1348860.7322219363 565311.7397918667),,,,,electric,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.111,,,,,POINT (1347508.6243427175 565836.4864211826),,,,,electric,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.112,,,,,POINT (1345624.7458971476 567691.0984624404),,,,,electric,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.113,,,,,POINT (1345968.6261478148 567734.7054048654),,,,,electric,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.114,,,,,POINT (1359964.4060179472 587483.3823706274),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.115,,,,,POINT (1359823.927277249 588239.3335940089),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.116,,,,,POINT (1359978.7465560602 584969.6909042612),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.117,,,,,POINT (1361187.1563901068 584680.5388296576),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.118,,,,,POINT (1348986.8704245216 550460.5029236915),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.119,,,,,POINT (1348037.175604594 550554.7407455766),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.120,,,,,POINT (1359964.4060179472 587483.3823706274),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.121,,,,,POINT (1359823.927277249 588239.3335940089),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.122,,,,,POINT (1305252.3264766918 596175.211787278),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.123,,,,,POINT (1306415.666048098 594931.6822680569),,,,,electric,,35 fines dbl w/flash,,40,,,,
School_Flashing_Signs.124,,,,,POINT (1305550.5511366322 593118.043192836),,,,,electric,,35 fines dbl w/flash,,40,,,,
School_Flashing_Signs.125,,,,,POINT (1361486.5517062196 578962.4687551595),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.126,,,,,POINT (1360814.8877272569 580267.7503874792),,,,,solar,,S1-1/fines dbl flash,,25,,,,
Paint_School_Crosswalks.1,,,,,POINT (1358984.274137535 569577.3182203553),,,,,,,,,,Themo,06-02-2006, , 
Paint_School_Crosswalks.2,,,,,POINT (1358297.3916283299 568854.7306978895),,,,,,,,,,Themo,06-02-2006, , 
Paint_School_Crosswalks.3,,,,,POINT (1361027.9471506488 560385.618618054),,,,,,,,,,Paint,06/13/06, , 
Paint_School_Crosswalks.4,,,,,POINT (1360997.2174261212 560382.1066495365),,,,,,,,,,Paint,06/13/06, , 
Paint_School_Crosswalks.5,,,,,POINT (1358544.9854088102 559709.5646784445),,,,,,,,,,Paint,06/13/06, , 
Paint_School_Crosswalks.6,,,,,POINT (1356731.9316616757 558003.040643006),,,,,,,,,,Paint,06/16/06, , 
Paint_School_Crosswalks.7,,,,,POINT (1347374.2915469247 539147.5743368493),,,,,,,,,,Paint,06/16/06, , 
Paint_School_Crosswalks.8,,,,,POINT (1347050.8977792761 538104.5196871661),,,,,,,,,,Paint,06/16/06, , 
Paint_School_Crosswalks.9,,,,,POINT (1350387.8531989418 579136.6038608165),,,,,,,,,,Paint,12/14/06, , 
Paint_School_Crosswalks.10,,,,,POINT (1350037.2416752828 579182.2594515433),,,,,,,,,,Paint,12/14/06, , 
Paint_School_Crosswalks.11,,,,,POINT (1356835.8273969837 528218.0356464955),,,,,,,,,,Themo,01-09-2007, , 
Paint_School_Crosswalks.12,,,,,POINT (1356100.6553206637 529345.6702046407),,,,,,,,,,Themo,01-09-2007, , 
Paint_School_Crosswalks.13,,,,,POINT (1356443.6575792015 528912.8200848649),,,,,,,,,,Themo,01-09-2007, , 
Paint_School_Crosswalks.14,,,,,POINT (1352937.835006655 537167.4094210926),,,,,,,,,,Themo,01-09-2007, , 
Paint_School_Crosswalks.15,,,,,POINT (1355605.467759703 529908.4631595624),,,,,,,,,,Themo,01-09-2007, , 
Paint_School_Crosswalks.16,,,,,POINT (1355646.733389783 529917.8284089423),,,,,,,,,,Themo,01-09-2007, , 
Paint_School_Crosswalks.17,,,,,POINT (1355663.1225761978 529868.3681856549),,,,,,,,,,Themo,01-09-2007, , 
Paint_School_Crosswalks.18,,,,,POINT (1352464.011920842 568703.716051639),,,,,,,,,,Themo,01-04-2007, , 
Paint_School_Crosswalks.19,,,,,POINT (1348930.9715922854 566254.4106747594),,,,,,,,,,Themo,01/17/07, , 
Paint_School_Crosswalks.20,,,,,POINT (1348471.1963805424 567107.233696414),,,,,,,,,,Themo,01/17/07, , 
Paint_School_Crosswalks.21,,,,,POINT (1349698.0440493056 567305.9525816932),,,,,,,,,,Themo,01/17/07, , 
Paint_School_Crosswalks.22,,,,,POINT (1350404.8277134427 566648.3364768003),,,,,,,,,,Themo,01/17/07, , 
Paint_School_Crosswalks.23,,,,,POINT (1349925.7366748538 565527.1405276038),,,,,,,,,,Themo,01/17/07, , 
Paint_School_Crosswalks.24,,,,,POINT (1362046.710684753 535804.4729722781),,,,,,,,,,Paint,01-10-2007, , 
Paint_School_Crosswalks.25,,,,,POINT (1362275.5739664736 535837.836673194),,,,,,,,,,Paint,01-10-2007, , 
Paint_School_Crosswalks.26,,,,,POINT (1361550.937795706 538924.564335991),,,,,,,,,,Themo,01-10-2007, , 
Paint_School_Crosswalks.27,,,,,POINT (1361387.3385956015 539558.181989348),,,,,,,,,,Themo,01-10-2007, , 
Paint_School_Crosswalks.28,,,,,POINT (1361362.4621519363 539573.4005195904),,,,,,,,,,Themo,01-10-2007, , 
Paint_School_Crosswalks.29,,,,,POINT (1361395.2405247658 539606.1788924199),,,,,,,,,,Themo,01-10-2007, , 
Paint_School_Crosswalks.30,,,,,POINT (1358561.6672592682 534033.8555113961),,,,,,,,,,Paint,01-10-2007, , 
Paint_School_Crosswalks.31,,,,,POINT (1357212.7786845234 534665.4245164512),,,,,,,,,,Themo,01-10-2007, , 
Paint_School_Crosswalks.32,,,,,POINT (1344061.3345787951 564941.8124413617),,,,,,,,,,Paint,01/24/07, , 
Paint_School_Crosswalks.33,,,,,POINT (1343677.6520182635 568947.2125355158),,,,,,,,,,Paint,01/24/07, , 
Paint_School_Crosswalks.34,,,,,POINT (1345709.9111336956 558006.2599474803),,,,,,,,,,Themo,01/29/07, , 
Paint_School_Crosswalks.35,,,,,POINT (1357179.7076476507 562711.4197687366),,,,,,,,,,Paint,02-06-2007, , 
Paint_School_Crosswalks.36,,,,,POINT (1355374.5558296805 562634.7417894389),,,,,,,,,,Paint,01/30/07, , 
Paint_School_Crosswalks.37,,,,,POINT (1355502.4500165244 558857.034320833),,,,,,,,,,Paint,02-06-2007, , 
Paint_School_Crosswalks.38,,,,,POINT (1356963.7215838276 560815.2494333556),,,,,,,,,,Paint,02-06-2007, , 
Paint_School_Crosswalks.39,,,,,POINT (1354484.8571385927 560593.9954167561),,,,,,,,,,Paint,02-06-2007, , 
Paint_School_Crosswalks.40,,,,,POINT (1356597.30620184 555690.1167102207),,,,,,,,,,Paint,02-12-2007, , 
Paint_School_Crosswalks.41,,,,,POINT (1349315.5321449465 557099.8794059346),,,,,,,,,,Themo,01/30/07, , 
Paint_School_Crosswalks.42,,,,,POINT (1346606.0484337322 553975.983409661),,,,,,,,,,Paint,01/30/07, , 
Paint_School_Crosswalks.43,,,,,POINT (1346121.9821064102 556016.1444542574),,,,,,,,,,Themo,01/30/07, , 
Paint_School_Crosswalks.44,,,,,POINT (1346091.2523818824 556041.8988900521),,,,,,,,,,Themo,01/30/07, , 
Paint_School_Crosswalks.45,,,,,POINT (1348275.9894637805 556121.7961738242),,,,,,,,,,Themo,01/30/07, , 
Paint_School_Crosswalks.46,,,,,POINT (1360423.595901604 569235.1939539468),,,,,,,,,,Themo,04-11-2007, , 
Paint_School_Crosswalks.47,,,,,POINT (1360389.939536645 569258.8997414396),,,,,,,,,,Themo,04-11-2007, , 
Paint_School_Crosswalks.48,,,,,POINT (1359947.138839403 569148.8580612261),,,,,,,,,,Themo,04-11-2007, , 
Paint_School_Crosswalks.49,,,,,POINT (1360038.7426848998 567153.7672792702),,,,,,,,,,Themo,04-11-2007, , 
Paint_School_Crosswalks.50,,,,,POINT (1362358.6905547201 559888.6750728346),,,,,,,,,,Paint,04-11-2007, , 
Paint_School_Crosswalks.51,,,,,POINT (1371181.926126732 574634.260221443),,,,,,,,,,Themo,06/18/07, , 
Paint_School_Crosswalks.52,,,,,POINT (1371157.927675196 574623.1389878044),,,,,,,,,,Themo,06/18/07, , 
Paint_School_Crosswalks.53,,,,,POINT (1347786.9478477254 537806.880355312),,,,,,,,,,Paint,01-11-2007, , 
Paint_School_Crosswalks.54,,,,,POINT (1344945.7653171069 566842.3727373895),,,,,,,,,,Themo,01/18/07, , 
Paint_School_Crosswalks.55,,,,,POINT (1345476.9505553714 567671.1973075082),,,,,,,,,,Themo,01/18/07, , 
Paint_School_Crosswalks.56,,,,,POINT (1345433.9289410326 567680.269892845),,,,,,,,,,Themo,01/18/07, , 
Paint_School_Crosswalks.57,,,,,POINT (1345431.0023006015 567718.0235544075),,,,,,,,,,Themo,01/18/07, , 
Paint_School_Crosswalks.58,,,,,POINT (1345481.3405160182 567723.87683527),,,,,,,,,,Themo,01/18/07, , 
Paint_School_Crosswalks.59,,,,,POINT (1356197.8197829798 561491.5960370083),,,,,,,,,,Themo,09-11-2008, , 
Paint_School_Crosswalks.60,,,,,POINT (1360781.524026341 579449.1690588697),,,,,,,,,,Themo,08/27/08, , 
Paint_School_Crosswalks.61,,,,,POINT (1358010.2882020283 559151.1616841697),,,,,,,,,,Paint,09-04-2008, , 
Paint_School_Crosswalks.62,,,,,POINT (1351151.1210234014 551155.872690147),,,,,,,,,,Paint,09-04-2008, , 
Paint_School_Crosswalks.63,,,,,POINT (1351409.250709434 551136.264199258),,,,,,,,,,Paint,09-04-2008, , 
Paint_School_Crosswalks.64,,,,,POINT (1351411.0066936929 551197.7236483133),,,,,,,,,,Themo,09-04-2008, , 
Paint_School_Crosswalks.65,,,,,POINT (1350807.8261008204 551972.4053704547),,,,,,,,,,Paint,09-04-2008, , 
Paint_School_Crosswalks.66,,,,,POINT (1349378.1622501744 551371.2734258841),,,,,,,,,,Paint,09-04-2008, , 
Paint_School_Crosswalks.67,,,,,POINT (1350567.8415854613 552841.0322504378),,,,,,,,,,Paint,09-04-2008, , 
Paint_School_Crosswalks.68,,,,,POINT (1351558.8020354689 553100.332592643),,,,,,,,,,Paint,09-04-2008, , 
Paint_School_Crosswalks.69,,,,,POINT (1351292.1850921856 553527.3294315565),,,,,,,,,,Paint,09-04-2008, , 
Paint_School_Crosswalks.70,,,,,POINT (1351121.5619550461 553934.1324514947),,,,,,,,,,Paint,09-04-2008, , 
Paint_School_Crosswalks.71,,,,,POINT (1350802.265484001 552371.8917893148),,,,,,,,,,Paint,09-04-2008, , 
Paint_School_Crosswalks.72,,,,,POINT (1341434.3821277411 560632.9197344913),,,,,,,,,,Themo,09-03-2008, , 
Paint_School_Crosswalks.73,,,,,POINT (1347417.0204972206 565487.0455536962),,,,,,,,,,Themo,09-03-2008, , 
Paint_School_Crosswalks.74,,,,,POINT (1345766.9806221044 567708.9509690708),,,,,,,,,,Themo,09-03-2008, , 
Paint_School_Crosswalks.75,,,,,POINT (1330520.0619676295 602664.1589513568),,,,,,,,,,Themo,11/17/08, , 
Paint_School_Crosswalks.76,,,,,POINT (1330361.7307203012 603071.2546353381),,,,,,,,,,Themo,11/19/08, , 
Paint_School_Crosswalks.77,,,,,POINT (1358202.2758143155 561414.3327296244),,,,,,,,,,Themo,07/14/09, , 
Paint_School_Crosswalks.78,,,,,POINT (1346231.7311225804 564510.7183058445),,,,,,,,,,Themo,10-08-2009, , 
Paint_School_Crosswalks.79,,,,,POINT (1346207.7326710445 564322.2426620746),,,,,,,,,,Themo,10-08-2009, , 
Paint_School_Crosswalks.80,,,,,POINT (1346350.5527240876 564492.573135171),,,,,,,,,,Themo,10-08-2009, , 
Paint_School_Crosswalks.81,,,,,POINT (1359919.9210833928 591305.5747737876),,,,,,,,,,Themo,10/13/09, , 
Paint_School_Crosswalks.82,,,,,POINT (1356501.6050597394 562984.7679850116),,,,,,,,,,Themo,07/21/10, , 
Paint_School_Crosswalks.83,,,,,POINT (1353913.8695904636 536573.8867416432),,,,,,,,,,Themo,08/19/10, , 
Paint_School_Crosswalks.84,,,,,POINT (1344205.6179520537 563974.85044289),,,,,,,,,,Themo,12/29/10, , 
Paint_School_Crosswalks.85,,,,,POINT (1344200.3499992776 563960.8025688202),,,,,,,,,,Themo,12/29/10, , 
Paint_School_Crosswalks.86,,,,,POINT (1344206.495944183 563906.0743927566),,,,,,,,,,Themo,12/29/10, , 
Paint_School_Crosswalks.87,,,,,POINT (1343738.8188032757 564966.3962209839),,,,,,,,,,Paint,12/29/10, , 
Paint_School_Crosswalks.88,,,,,POINT (1374162.124077833 556428.8007550581),,,,,,,,,,Themo,12/29/10,Chips, 
Paint_School_Crosswalks.89,,,,,POINT (1373118.1914360204 556648.0061233557),,,,,,,,,,Themo,12/29/10, , 
Paint_School_Crosswalks.90,,,,,POINT (1373073.12117338 556659.7126850806),,,,,,,,,,Themo,12/29/10,Chips, 
Paint_School_Crosswalks.91,,,,,POINT (1372089.184660407 556959.1080011934),,,,,,,,,,Themo,12/29/10,Chips, 
Paint_School_Crosswalks.92,,,,,POINT (1372538.4239665978 552910.3936286574),,,,,,,,,,Themo,12/29/10,Chips, 
Paint_School_Crosswalks.93,,,,,POINT (1364778.4368632445 566951.2437614305),,,,,,,,,,Themo, , , 
Paint_School_Crosswalks.94,,,,,POINT (1364270.0794203433 567103.1363998103),,,,,,,,,,Themo, , , 
Paint_School_Crosswalks.95,,,,,POINT (1358384.0201850939 555134.0550282908),,,,,,,,,,Paint, ,Chips,6
Paint_School_Crosswalks.96,,,,,POINT (1356536.724744914 555675.7761721078),,,,,,,,,,Themo, ,Chips,6
Paint_School_Crosswalks.97,,,,,POINT (1357880.3453668824 554635.0628347695),,,,,,,,,,Themo, ,Chips,6
Paint_School_Crosswalks.98,,,,,POINT (1358384.0201850939 555134.0550282908),,,,,,,,,,Paint, ,Chips,6
Paint_School_Crosswalks.99,,,,,POINT (1356112.3618823886 562925.0645202149),,,,,,,,,,Themo, , ,6
Paint_School_Crosswalks.100,,,,,POINT (1361399.3378213693 560805.2988558896),,,,,,,,,,Themo, , ,6
Paint_School_Crosswalks.101,,,,,POINT (1361406.6544224473 560814.0787771832),,,,,,,,,,Themo, , ,6
Paint_School_Crosswalks.102,,,,,POINT (1361152.9146970615 560560.3390517973),,,,,,,,,,Themo, ,Faded,6
Paint_School_Crosswalks.103,,,,,POINT (1361028.239814692 560384.4479618815),,,,,,,,,,Paint, ,Chips,6
Paint_School_Crosswalks.104,,,,,POINT (1361008.0459957167 560372.7414001568),,,,,,,,,,Paint, ,Chips,6
Paint_School_Crosswalks.105,,,,,POINT (1365475.2699499156 561104.1088439161),,,,,,,,,,Themo, ,Chips,6
Paint_School_Crosswalks.106,,,,,POINT (1365544.3386640921 561106.4501562611),,,,,,,,,,Themo, ,Chips,6
Paint_School_Crosswalks.107,,,,,POINT (1333752.8289879442 555309.3607901203),,,,,,,,,,Themo,08-09-2011, , 
Paint_School_Crosswalks.108,,,,,POINT (1349669.655637123 596063.4141228058),,,,,,,,,,Themo,03/27/12,Chips,1000
Paint_School_Crosswalks.109,,,,,POINT (1352177.4938226268 550881.3538176996),,,,,,,,,,Themo,03-08-2012,Faded,1000
Paint_School_Crosswalks.110,,,,,POINT (1377790.8655484903 570210.350545626),,,,,,,,,,Themo,05/31/12,Faded,60
Paint_School_Crosswalks.111,,,,,POINT (1332508.7141406368 555416.1831658594),,,,,,,,,,Themo,06-04-2012,Chips,1000
Paint_School_Crosswalks.112,,,,,POINT (1376679.0348486737 570783.3867420569),,,,,,,,,,Themo,04-11-2013,,270
